Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python
223,e11bd04a-9c79-4024-8354-61988e044473,P G,https://play-lh.googleusercontent.com/a/AGNmyxazHwT0BeC7Yvcbdr-v5mpSf_WjzpqSj3bSiO5Wig=mo,"Trying the python 3 course, not very impressed with the app. On the second module text is cut off when trying to review the learning material as well as on the clean sheet. Also when you click the learn button it just opens a random topic. As far as i can see there's no tracking system for which modules you've done. Unless i missed it somehow. The content of the courses seems good as a beginner.",2,28,1.14.0,2022-11-05 10:29:20,,,NEGATIVE,python
229,7860d8f8-533c-4e5f-a697-ac635ed88347,Michael Barela,https://play-lh.googleusercontent.com/a-/ACB-R5Tp3-gPAcyFGEVkc5LIoeTNKAmYq9WEEKZHCxNBCA,"This is a fantastic way to learn small, digestible chunks of python.",5,0,1.14.0,2022-11-02 12:41:06,,,POSITIVE,python
459,5fb781b7-1cf3-49d3-aef3-ca248410034a,Justin,https://play-lh.googleusercontent.com/a-/ACB-R5QRF2WuCHW1LsCiyVeFkiNJVvFrXTOXm9EuJoEfew,codecadamy has great python courses,5,0,1.14.0,2022-07-10 12:02:50,,,POSITIVE,python
626,371d969d-329e-483b-8cd3-486ed0adec9c,Yashvardhan Jagatkar,https://play-lh.googleusercontent.com/a/AGNmyxYv0Bed27ttpoooqOQBv90wzZIEgawPzNM_44kX=mo,iam student in 12 th and learning python this app makes me understand the basic to pro.... if iam wrong at any point it Requotioned me again and again 👍🏻👍🏻,4,0,1.14.0,2022-04-13 05:27:02,,,POSITIVE,python
671,7a4c3789-fda7-4a66-a5c0-66961ac80504,Austin Emery,https://play-lh.googleusercontent.com/a-/ACB-R5T3-ZzKFbLfFVFo1fzzeUXt6JhAqT7QGRFQ0YfJNpI,"python review section has some flawed sections. the right answer is said wrong and some section s had way too many fill blocks, causing review section impassable",3,0,1.14.0,2022-03-19 01:21:00,,,NEGATIVE,python
703,5c550835-0d71-46c7-88ec-77a86ff130bd,Emanuel Attila Czirai,https://play-lh.googleusercontent.com/a/AGNmyxZ8plMGcsKs_WHuhZsUMlKRH9DxnlidIIJhpKge=mo,"The resume button for the python course has to be malfunctioning: when I first started it showed me something Vout 2D lists, now it shows me about Files but I haven't even done Loops and that's like 6 sections away. tf And there's no checkmarks to see what I've already gone through or completed.",1,4,1.14.0,2022-02-24 06:40:17,,,NEGATIVE,python
932,a745ce91-665d-422e-a125-fe71a52697cd,Evans Kobina Donkoh,https://play-lh.googleusercontent.com/a-/ACB-R5TzGVDYm7-9Cd-uvBO8lc7WL9oO1yzCLsPIbelQ-w,I just got started with CodeAcademy and I'm loving it . It really making my python journey extremely easier. Thanks to guys,4,0,1.14.0,2021-10-19 23:15:15,,,POSITIVE,python
975,1be40436-abcd-456d-b4ba-5d0ee01dc3d7,Mel Smith,https://play-lh.googleusercontent.com/a-/ACB-R5RX7FfoemdHBk_QEYJG3X4Z39zDVyZNL5Q6p_VUVW0,"Wasn't aware this wouldn't coincide with what I was doing on web learning python. This has python, but only review for mostly concepts I haven't learned yet so I quickly got stuck. Also isn't clear in app what is locked under pro... Everything that is grayed out? And then there are screens where either top or bottom of text blocks are cut off, making it difficult to read.",3,8,1.14.0,2021-09-21 14:40:32,,,NEGATIVE,python
1045,325c0c28-d87f-457d-8860-1f50c13c3d49,Prudhvi Dasari,https://play-lh.googleusercontent.com/a-/ACB-R5S8ikwKVkndN6h6NpVAgV6ypyXnVl-npUBs1kriYA,the good app to learn html css java and python,5,0,1.14.0,2021-08-13 10:16:47,,,POSITIVE,python
1086,e4c6b347-c0b3-4910-b90f-bf63447db283,Thomas bwalya,https://play-lh.googleusercontent.com/a/AGNmyxaytxpXb2zyQxwtXHrAZjFAjRxYA647U1nreH7l=mo,simple to use it's a good revision took if your just starting out to learn python and has a whole community to help you when your stuck,5,1,1.14.0,2021-07-27 04:41:44,,,POSITIVE,python
