app,positiveCount,neutralCount,negativeCount,aggregatedAverage,positiveProportion,neutralProportion,negativeProportion
codeacademy,2234,0,1339,0.250489784494822,0.625244892247411,0,0.374755107752589
datacamp,6427,0,1292,0.665241611607721,0.83262080580386,0,0.167379194196139
encode,1772,0,273,0.733007334963325,0.866503667481663,0,0.133496332518337
learn-python-programiz,4144,0,670,0.721645201495638,0.860822600747819,0,0.139177399252181
mimo,76205,0,12519,0.717799017176863,0.858899508588432,0,0.141100491411568
programming-hero,14871,0,1667,0.798403676381666,0.899201838190833,0,0.100798161809167
programming-hub,42396,0,7153,0.711275706876022,0.855637853438011,0,0.144362146561989
sololearn,119851,0,12702,0.8083483587697,0.90417417938485,0,0.0958258206151502
