app,positiveCount,neutralCount,negativeCount,positiveProportion,neutralProportion,negativeProportion,aggregatedAverage
codeacademy,2038,0,-1062,0.65741935483871,0,0.34258064516129,0.314838709677419
datacamp,6186,0,-1192,0.83843860124695,0,0.16156139875305,0.676877202493901
encode,1630,0,-231,0.875873186458893,0,0.124126813541107,0.751746372917786
learn-python-programiz,4077,0,-651,0.862309644670051,0,0.137690355329949,0.724619289340102
mimo,74936,0,-11788,0.864074535307412,0,0.135925464692588,0.728149070614824
programming-hero,14768,0,-1639,0.900103614310965,0,0.0998963856890352,0.80020722862193
programming-hub,41760,0,-6922,0.857811922271065,0,0.142188077728935,0.715623844542131
sololearn,118715,0,-12136,0.907253288091035,0,0.0927467119089652,0.81450657618207
