app,positiveCount,neutralCount,negativeCount,positiveProportion,neutralProportion,negativeProportion,aggregatedAverage
codeacademy,196,0,-277,0.414376321353066,0,0.585623678646934,-0.171247357293869
datacamp,241,0,-100,0.706744868035191,0,0.293255131964809,0.413489736070381
encode,142,0,-42,0.771739130434783,0,0.228260869565217,0.543478260869565
learn-python-programiz,67,0,-19,0.779069767441861,0,0.22093023255814,0.558139534883721
mimo,1269,0,-731,0.6345,0,0.3655,0.269
programming-hero,103,0,-28,0.786259541984733,0,0.213740458015267,0.572519083969466
programming-hub,636,0,-231,0.73356401384083,0,0.266435986159169,0.467128027681661
sololearn,1136,0,-566,0.667450058754407,0,0.332549941245593,0.334900117508813
