question_index,score
R2,5
S2,2
A1,2
R3,2
R1,1
F4,5
A4,4
S3,7
P1,6
D3,4
P2,2
A2,1
P3,7
P4,5
A3,7
D1,5
R4,1
D4,6
D2,5
F3,7
S4,7
F2,5
S1,7
F1,7
