question_index,score
D2,1
P1,3
R2,5
F3,6
R1,4
R4,6
F2,7
S1,6
S4,5
P4,6
D4,2
D1,2
F4,5
P3,6
S3,6
S2,5
P2,6
D3,3
A1,7
A4,5
A2,6
A3,7
F1,7
R3,5
