event,time
Parte 1,17:48:42
Un lenguaje utilizado por los humanos para comunicarse con las maquinas. (Correcto),17:48:42
Parte 3,17:48:51
Verdadero (Correcto),17:48:51
Parte 4,17:48:55
print(729) (Correcto),17:48:55
Parte 5,17:49:03
comillas ''  (Correcto),17:49:03

