NER_Text,Count,NER_Label
ita,2,LOC
PHub,2,ORG
jQuery,2,MISC
Awesone,2,ORG
MCQ,2,ORG
INDIA,2,LOC
TNX,2,MISC
Matlab,2,MISC
Awasome,2,ORG
bca,2,ORG
Awesum,2,ORG
Git,2,MISC
Samsung J5,1,MISC
Rs1950,1,MISC
Satiz,1,PER
Sanskrit,1,MISC
RITIK HO,1,ORG
San Francisco,1,LOC
Rs.80,1,MISC
RM100,1,MISC
Rs.990,1,MISC
Samsung Galaxy J1,1,MISC
Samsung galaxy s9,1,MISC
Samsung A31,1,MISC
REST,1,MISC
Samsung Note 2,1,MISC
Rs1750,1,MISC
Rs.1850,1,MISC
Samsung SGH-T399,1,MISC
Sada,1,ORG
Roshankumar,1,PER
SS,1,ORG
Randhir Kumar,1,PER
SAMSUNG S4,1,MISC
Relja Stojanovic,1,PER
Rupees,1,MISC
Ruby on Rails,1,MISC
SAS,1,ORG
Renpy,1,MISC
React Development,1,MISC
SK,1,ORG
SK.Steve,1,PER
SOLO LEARN,1,MISC
Rhis,1,PER
RightSoL,1,ORG
Rasperry pi,1,MISC
Raksha Bandhan,1,MISC
SRDAV,1,ORG
Roblox,1,MISC
SPANISH,1,MISC
Rodrigo de Ara ? jo Vieira,1,PER
Raju Jnmoy,1,PER
Rodrigo de Araújo Vieira,1,PER
Rohan,1,PER
Ron Hobre,1,PER
Rorisang Modisane,1,PER
RSCIT,1,ORG
ReactJs,1,MISC
Rstudio,1,MISC
"SQL,and",1,MISC
RPGM,1,MISC
Rs.650,1,MISC
++,1,MISC
RAVI RAUSHAN KUMAR,1,PER
Oscar,1,MISC
Ots,1,MISC
Osum,1,ORG
Ostir,1,ORG
Ossumm,1,ORG
Ossm,1,ORG
Osm !,1,MISC
Osamn,1,PER
RAMMOHAN PATTABHI,1,PER
Osam,1,ORG
Osa,1,ORG
Os3r,1,MISC
OpenITG,1,MISC
Open,1,MISC
"Onalenna Montsho,am",1,PER
Owesom,1,PER
Owesome,1,ORG
Owsm,1,ORG
Owsme,1,MISC
Owsome App,1,MISC
P-Hub,1,ORG
P-hub,1,PER
P. hub.,1,PER
P.G,1,ORG
P.K,1,LOC
P.hub,1,ORG
PA,1,PER
PAKISTAN,1,LOC
PC Website,1,MISC
PERL,1,MISC
PHUB,1,ORG
POCO X3,1,MISC
Olympiads,1,MISC
Okay App,1,MISC
Okat,1,ORG
Nycc,1,LOC
Nive,1,MISC
Nixe,1,PER
Nob,1,MISC
Node Js,1,MISC
"Node,Express",1,MISC
Node.js,1,MISC
NodeJS,1,MISC
Noiceee,1,ORG
Noob,1,PER
Note 10,1,MISC
Note 10 +,1,MISC
Nothinh,1,ORG
Nucr,1,ORG
Numpy,1,PER
Nyccc,1,ORG
Ok Lang,1,PER
Nyz,1,ORG
O,1,PER
O'Reilly Media,1,ORG
OCJP,1,MISC
OLY,1,PER
OOP,1,MISC
Object Oriented Programming Java,1,MISC
Objective C,1,MISC
Objective C.,1,MISC
Objective-C,1,MISC
Objective-c,1,MISC
Oddisey 2000,1,MISC
Odyssey,1,MISC
Ohtatanding,1,MISC
PROGRAMING HUB APP,1,MISC
PROGRAMMING,1,ORG
PROGRAMMING HUB APP,1,MISC
Programming Hub.,1,ORG
Pro Membership,1,MISC
Pro Plan,1,MISC
Pro.I,1,MISC
ProHub,1,ORG
Proframming Hub,1,MISC
ProgHub,1,ORG
Progmmaing Hub,1,ORG
Programing hub,1,ORG
Programming & Prog . Hub,1,MISC
Programming Easily,1,MISC
Programming Fundamentals,1,MISC
Programming HUB,1,MISC
Programming Hub Learning Application,1,MISC
"Programming Hub,It",1,ORG
Programming Hub.God,1,ORG
PrismJS,1,MISC
Programming Hubo,1,MISC
Programming Hup,1,MISC
Programming Pro,1,MISC
Programming hero,1,MISC
Programminghub PRO,1,MISC
Progrmming Hub,1,ORG
Prpo,1,MISC
Puting,1,PER
Pygame,1,MISC
Python 2,1,MISC
"Python,java",1,MISC
Pythons,1,MISC
Quantum Computers,1,ORG
RAMAMOHAN PATTABHI,1,PER
Pritul Gohel,1,PER
Printf,1,MISC
PT-BR,1,MISC
Photoshop,1,MISC
PWA,1,MISC
PYRAMID C,1,MISC
PYTHON Squeezy,1,MISC
Pakistan,1,LOC
Palindrome,1,MISC
Palm,1,MISC
Par Excella'nt,1,PER
Paytm,1,ORG
Payton,1,MISC
Paywall,1,MISC
Pepsi Programming Hub,1,ORG
Ph,1,PER
Ph.,1,ORG
Phil,1,PER
Php,1,MISC
Premium,1,MISC
Plases,1,ORG
Play,1,MISC
Play Credit,1,MISC
Play store,1,MISC
Plutus,1,MISC
Pocophone,1,MISC
Poli Sadhanam.,1,PER
Poli sadanm,1,PER
Polish,1,MISC
Portuguese,1,MISC
Sawa,1,ORG
PostgreSQL,1,MISC
Powerpoint,1,MISC
Pragaming Hub,1,ORG
Pos,1,ORG
Tab,1,MISC
Script,1,MISC
huawei,1,ORG
janani,1,PER
inglés,1,MISC
infinix zero 2,1,MISC
iPhones,1,MISC
iPad,1,MISC
i,1,PER
huawei gr5,1,MISC
google grasshopper,1,MISC
jeevan James,1,PER
google android,1,ORG
googel,1,ORG
galaxy s7,1,MISC
french,1,MISC
ethiopia,1,LOC
esie,1,MISC
erlang,1,MISC
jani,1,PER
kayrunnasa begome,1,PER
YIIPIIEE,1,PER
mca,1,ORG
mySQL,1,ORG
mr classig,1,PER
mpesa Xpress,1,MISC
moto e,1,MISC
mimo,1,MISC
microsoft,1,ORG
md : rosid,1,PER
marry christmas,1,MISC
keed,1,PER
malayala manorama,1,ORG
maby,1,PER
leran,1,LOC
lebanese university abey,1,ORG
