,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language
35,a979def8-7e0a-4fb4-9bdf-709bb8919681,Jose Carlos Peraza,https://play-lh.googleusercontent.com/a/AGNmyxYUGmb2Zy6_Bs7ZIC7Gh-WytmQXN6bkJTAnKER-=mo,"Deberían poner una opción para cambiar el idioma. Me gusta mucho su aplicación, pero yo hablo español. Aunque también me a servido para practicar mi inglés. Pero, si les agradecería que la pusieran en otros idiomas.",4,1,1.14.0,2022-05-28 05:30:03,,,1.14.0,es
37,caa957be-eb03-4f55-809c-11341f89863b,Kevinn Perez Quesada,https://play-lh.googleusercontent.com/a-/ACB-R5RHqEm03uVWrWJ0EtsV3yCvoW2DJ3RCTKyF0dSZ6w,"Es mas que todo una herramienta de acompañamiento del curso web en la PC, útil para repasar en el baño =P",3,0,1.14.0,2022-05-25 08:43:09,,,1.14.0,es
40,e9ca2e92-fe17-41d6-966a-9881dab74c3a,Alex Ironheart,https://play-lh.googleusercontent.com/a-/ACB-R5RlQadFJTVKH4YixGXI7xqVpVxPB7kS4hVhEmVc2A,"No me queda clara la secuencia de ejercicios (para elegir el tema, por ejemplo) y los ejercicios de seleccionar fragmentos para responder no funcionan bien.",2,3,1.14.0,2022-04-06 03:45:12,,,1.14.0,es
49,61a35a01-ce85-4a9c-9fa0-8abd4ffca161,Dario Conde,https://play-lh.googleusercontent.com/a-/ACB-R5SPFIpNg41JxjID2s4uwbD1DRjd54ol03lRulzZ2gA,"No deja crear una nueva cuenta ni loguearse con Google o Facebook. Al seleccionar cualquier de las anteriores, entra en un loop y no avanza. Por favor corregir este bug. Gracias.",1,3,,2022-02-09 04:00:11,,,,es
50,c450a4d9-2c87-4d5f-bd30-306e993941ba,Abaiert,https://play-lh.googleusercontent.com/a-/ACB-R5QPj17au8avh1lot3Hhr5UpPmIpNoE6jBkFsUaVBQ,No me deja conectar con mi cuenta gmail,1,0,1.14.0,2022-02-07 01:08:56,,,1.14.0,es
51,07e51d12-2c17-435d-a7bf-af27e19ee065,Omar Ruiz,https://play-lh.googleusercontent.com/a-/ACB-R5R8_77ClKdc7hnkAWpSwehuXP-CtXfY8WLqdfaB,"todo bien, seria genial poder cambiar de idioma las introducciónes.",4,2,1.14.0,2022-01-25 07:01:31,,,1.14.0,es
52,a18c3e29-c28a-4e49-9210-82ee7c70153c,Jorge Morales,https://play-lh.googleusercontent.com/a/AGNmyxYtYqnoM5bxYp6LGT7uKz9kVGNuy4f9U9V6cUfZ=mo,"El contenido y el método de enseñanza de la aplicación es diferente al de la versión web. Prefiero usar la página desde el navegador, es mucho mejor",2,2,1.14.0,2022-01-21 19:58:51,,,1.14.0,es
53,71ca26ee-1126-4b0b-a9e4-db9b11d6d2f7,Carlos Erquicia,https://play-lh.googleusercontent.com/a-/ACB-R5TlKV3KKRiL4Xgoif4mw2wAckGJD1EYvoCxCkk2Ao0,apasionante mundo,5,0,1.14.0,2022-01-11 10:33:19,,,1.14.0,es
54,3c0aabd2-b0ae-47de-9890-a9be3760d1ab,Victor,https://play-lh.googleusercontent.com/a/AGNmyxaip4if363Rdyeq870_Dkd7Pvj4FieeHBDbX6wvJQ=mo,"La app está bien para aprender, la pega es que no se vincula con el perfil de la web. Va por libre",3,0,1.14.0,2022-01-07 10:26:01,,,1.14.0,es
55,e28ce46f-0132-4a65-990e-fb0ef2502430,Tutoriales Natalia,https://play-lh.googleusercontent.com/a-/ACB-R5Tw8j-WHH--EPEq_nD3LQvxT2Pa0paFsJ7QjUNbEg,Falta que esté en español.,4,0,1.14.0,2021-12-30 15:02:22,,,1.14.0,es
56,3c274bec-121f-4976-8609-f0050a8ac549,Camila Florencia,https://play-lh.googleusercontent.com/a-/ACB-R5TtGmzbu-zT89eQlocvZvqSJxFIfKAcyEvt0oOq-Xw,Porque me aparece en inglés solamente?,3,1,,2021-12-26 22:08:40,,,,es
57,b23edcf6-fd32-453c-aab9-0011b31eef37,Alexis Aibar,https://play-lh.googleusercontent.com/a/AGNmyxZph1qw0FRC6p03hHitU8jLg8PAdY1EOjFRhWZ8=mo,muy buen aprendisaje,5,0,1.14.0,2021-12-22 23:41:42,,,1.14.0,es
58,9beb94ec-430c-4624-8330-ca97e10037ce,Carlos Reges,https://play-lh.googleusercontent.com/a-/ACB-R5Riay112FtLhprVoLkWq9XjyjwDP1ytLTQuTKRidg,Es muy buena para ir avanzando. La recomiendo,4,0,1.14.0,2021-12-12 16:08:23,,,1.14.0,es
60,e58dac50-edd1-4e43-9b1c-7429e047425d,Bogues Prime,https://play-lh.googleusercontent.com/a-/ACB-R5REDi3c94ngwfyE-uZNtZplI_bi4rI1W5K8lBsdmHE,"se ve interesante, sigamos probando",5,0,1.14.0,2021-11-07 03:18:46,,,1.14.0,es
