,feature,positiveCount,negativeCount,score
0,daily streaks,870,-144,0.7159763313609467
0,points system,255,-42,0.7171717171717171
0,progress bar,4,-9,-0.38461538461538464
0,strike habit/competition,200,-63,0.5209125475285171
0,social discovery,74,-79,-0.032679738562091505
0,challenges,341,-112,0.5055187637969095
0,leaderboard/competition,39,-9,0.625
0,boosters,470,-30,0.88
0,virtual economy,138,-33,0.6140350877192983
0,torture breaks,12,-5,0.4117647058823529
0,visual grave,96,-9,0.8285714285714286
0,high five,9,0,1.0
0,last mile drive,178,-10,0.8936170212765957
0,anticipation parade,7,0,1.0
0,avatar,436,-53,0.7832310838445807
0,win states,89,-21,0.6181818181818182
0,voting,175,-45,0.5909090909090909
0,crowning,0,0,0
0,status quo sloth,436,-53,0.7832310838445807
