,app,positiveCount,negativeCount,score
0,codeacademy,0,0,0
0,datacamp,306,-34,0.8
0,learn-python-programiz,18,-1,0.8947368421052632
0,mimo,6180,-1038,0.71238570241064
0,programming-hero,161,-23,0.75
0,programming-hub,1002,-186,0.6868686868686869
0,sololearn,23386,-1446,0.8835373711340206
