app,positiveCount,neutralCount,negativeCount,aggregatedAverage,positiveProportion,neutralProportion,negativeProportion
codeacademy,80,31,30,0.354609929078014,0.567375886524823,0.219858156028369,0.212765957446808
datacamp,306,49,34,0.699228791773779,0.786632390745501,0.125964010282776,0.0874035989717224
learn-python-programiz,18,9,1,0.607142857142857,0.642857142857143,0.321428571428571,0.0357142857142857
mimo,6180,2035,1038,0.555711661082892,0.667891494650384,0.219928671782125,0.112179833567492
programming-hero,161,37,23,0.624434389140272,0.728506787330317,0.167420814479638,0.104072398190045
programming-hub,1002,445,186,0.499693815064299,0.613594611145132,0.272504592774035,0.113900796080833
sololearn,23386,4044,1446,0.759800526388696,0.809876714226347,0.140047097936002,0.0500761878376506
