feature,positiveCount,negativeCount,aggregatedAverage,positiveProportion,negativeProportion
daily streaks,870,144,0.715976331360947,0.857988165680473,0.142011834319527
points system,255,42,0.717171717171717,0.858585858585859,0.141414141414141
progress bar,4,9,-0.384615384615385,0.307692307692308,0.692307692307692
strike habit/competition,200,63,0.520912547528517,0.760456273764259,0.239543726235741
social discovery,74,79,-0.0326797385620915,0.483660130718954,0.516339869281046
challenges,341,112,0.505518763796909,0.752759381898455,0.247240618101545
leaderboard/competition,39,9,0.625,0.8125,0.1875
boosters,470,30,0.88,0.94,0.0600000000000001
virtual economy,138,33,0.614035087719298,0.807017543859649,0.192982456140351
torture breaks,12,5,0.411764705882353,0.705882352941176,0.294117647058823
visual grave,96,9,0.828571428571429,0.914285714285714,0.0857142857142858
high five,9,0,1,1,0
last mile drive,178,10,0.893617021276596,0.946808510638298,0.0531914893617021
anticipation parade,7,0,1,1,0
avatar,436,53,0.783231083844581,0.89161554192229,0.10838445807771
win states,89,21,0.618181818181818,0.809090909090909,0.190909090909091
voting,175,45,0.590909090909091,0.795454545454545,0.204545454545455
crowning,0,0,0,,
status quo sloth,436,53,0.783231083844581,0.89161554192229,0.10838445807771
