reviewId,NER_Text,Start_Pos,End_Pos,NER_Label,Prob
18,premio,180,186,MISC,0.7880966663360596
19,c edit,150,156,MISC,0.8304004967212677
36,cuba,127,131,LOC,0.8158526420593262
36,pensiveface,133,144,MISC,0.8638012409210205
62,grinningfacewithbigeyes,50,73,MISC,0.5822910070419312
117,duolingo,7,15,ORG,0.9518258571624756
133,smilingfacewithsmilingeyes  grinningfacewithbigeyes,14,65,MISC,0.8849718570709229
152,aventuras con paulo,101,120,MISC,0.9998829364776611
168,flexedbicepslightskintone,40,65,MISC,0.949962854385376
201,smilingfacewithsmilingeyes,46,72,MISC,0.9993519186973572
225,duolingo,142,150,ORG,0.9901136159896851
261,sololearn  thumbsuplightskintone,99,131,MISC,0.9994185566902161
272,duolingo,8,16,ORG,0.9969781637191772
277,duolingo,74,82,MISC,0.5624505877494812
278,duolingo,27,35,ORG,0.9973641037940979
278,duolingo,110,118,ORG,0.9879135489463806
314,ésto,63,67,LOC,0.6307852268218994
331,wsta,4,8,MISC,0.6087923645973206
335,redheart  starstruck,249,269,MISC,0.875433087348938
346,java kotlin,59,70,MISC,0.9750078022480011
378,victoryhandlightskintone,235,259,MISC,0.9007387757301331
444,okhandlightskintone,35,54,MISC,0.5240186452865601
446,beamingfacewithsmilingeyes,38,64,MISC,0.9890382289886475
534,smilingfacewithhalo,61,80,MISC,0.9618579149246216
577,duolingo,58,66,MISC,0.5594683289527893
616,atte juan,24,33,PER,0.9625161588191986
793,duolingo,45,53,ORG,0.981204092502594
798,ccetcen,158,165,MISC,0.7033394575119019
838,duolingo,22,30,ORG,0.8610438704490662
844,beamingfacewithsmilingeyes,24,50,MISC,0.9998375177383423
860,phyton,53,59,ORG,0.873938262462616
947,duolingo,166,174,MISC,0.7666033506393433
973,smilingfacewithsunglasses  fire  okhand,76,115,MISC,0.8346818288167318
1009,redheart,23,31,PER,0.9869338274002075
1068,duolingo,88,96,ORG,0.5670306086540222
1132,10010,52,57,MISC,0.834164559841156
1135,heartsuit,53,62,MISC,0.9352551102638245
1149,vdd,3,6,MISC,0.8675264716148376
