reviewId,NER_Text,Start_Pos,End_Pos,NER_Label,Prob
109,beamingfacewithsmilingeyes,11,37,MISC,0.9995854496955872
150,phyton,134,140,MISC,0.910614013671875
170,play store,72,82,MISC,0.9554678797721863
217,pgm hero,145,153,MISC,0.9965192973613739
292,please give us 5 stars,53,75,MISC,0.9999029278755188
325,telegram,121,129,ORG,0.6753911972045898
